time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,sigma0,sigma1,sigma2,cx,cy,cz,battery_pct,action_name,action_idx
0.0,-3532049.965,-6117689.994,-0.000,-916.237,529.857,7436.799,0.445833,0.099975,0.459249,0.952523,-0.251277,0.171928,100.00,RESET,48
0.0,-3532049.965,-6117689.994,-0.000,-916.237,529.857,7436.799,0.445833,0.099975,0.459249,0.952523,-0.251277,0.171928,100.00,DRIFT,48
1.0,-3532906.064,-6117056.335,7435.532,-912.223,536.774,7436.672,0.440104,0.097177,0.450612,0.945019,-0.269554,0.185147,100.00,DRIFT,48
2.0,-3533762.163,-6116422.676,14871.063,-908.209,543.690,7436.545,0.434374,0.094378,0.441974,0.936826,-0.288017,0.198505,100.00,DRIFT,48
3.0,-3534618.262,-6115789.017,22306.595,-904.195,550.607,7436.419,0.428645,0.091580,0.433337,0.927923,-0.306632,0.211979,100.00,DRIFT,48
4.0,-3535474.362,-6115155.357,29742.126,-900.181,557.523,7436.292,0.422916,0.088781,0.424700,0.918296,-0.325365,0.225545,100.00,DRIFT,48
5.0,-3536330.461,-6114521.698,37177.658,-896.167,564.440,7436.165,0.417187,0.085983,0.416063,0.907930,-0.344178,0.239175,100.00,DRIFT,48
6.0,-3537186.560,-6113888.039,44613.189,-892.153,571.356,7436.039,0.411458,0.083185,0.407426,0.896817,-0.363031,0.252841,100.00,DRIFT,48
7.0,-3538042.660,-6113254.380,52048.721,-888.139,578.273,7435.912,0.405729,0.080386,0.398789,0.884950,-0.381882,0.266513,100.00,DRIFT,48
8.0,-3538898.759,-6112620.721,59484.252,-884.125,585.189,7435.785,0.400000,0.077588,0.390151,0.872331,-0.400687,0.280159,100.00,DRIFT,48
9.0,-3539754.858,-6111987.062,66919.784,-880.111,592.106,7435.658,0.394270,0.074789,0.381514,0.858962,-0.419402,0.293746,100.00,DRIFT,48
10.0,-3540610.957,-6111353.403,74355.315,-876.097,599.023,7435.532,0.388541,0.071991,0.372877,0.844852,-0.437980,0.307243,100.00,DRIFT,48
11.0,-3541467.057,-6110719.744,81790.847,-872.083,605.939,7435.405,0.382812,0.069192,0.364240,0.830017,-0.456376,0.320614,100.00,DRIFT,48
12.0,-3542323.156,-6110086.085,89226.378,-868.069,612.856,7435.278,0.377083,0.066394,0.355603,0.814474,-0.474543,0.333828,100.00,DRIFT,48
13.0,-3543179.255,-6109452.426,96661.910,-864.055,619.772,7435.152,0.371354,0.063596,0.346965,0.798249,-0.492435,0.346850,100.00,DRIFT,48
14.0,-3544035.354,-6108818.767,104097.441,-860.041,626.689,7435.025,0.365625,0.060797,0.338328,0.781372,-0.510010,0.359650,100.00,DRIFT,48
15.0,-3544891.454,-6108185.108,111532.973,-856.027,633.605,7434.898,0.359895,0.057999,0.329691,0.763875,-0.527224,0.372197,100.00,DRIFT,48
16.0,-3545747.553,-6107551.449,118968.504,-852.012,640.522,7434.772,0.354166,0.055200,0.321054,0.745797,-0.544037,0.384460,100.00,DRIFT,48
17.0,-3546603.652,-6106917.790,126404.036,-847.998,647.438,7434.645,0.348437,0.052402,0.312417,0.727182,-0.560413,0.396413,100.00,DRIFT,48
18.0,-3547459.752,-6106284.131,133839.567,-843.984,654.355,7434.518,0.342708,0.049604,0.303779,0.708075,-0.576316,0.408032,100.00,DRIFT,48
19.0,-3548315.851,-6105650.472,141275.099,-839.970,661.271,7434.392,0.336979,0.046805,0.295142,0.688524,-0.591717,0.419292,100.00,DRIFT,48
20.0,-3549171.950,-6105016.812,148710.630,-835.956,668.188,7434.265,0.331250,0.044007,0.286505,0.668582,-0.606587,0.430175,99.99,DRIFT,48
21.0,-3550028.049,-6104383.153,156146.162,-831.942,675.105,7434.138,0.325521,0.041208,0.277868,0.648299,-0.620905,0.440664,99.99,DRIFT,48
22.0,-3550884.149,-6103749.494,163581.693,-827.928,682.021,7434.012,0.319791,0.038410,0.269231,0.627732,-0.634652,0.450744,99.99,DRIFT,48
23.0,-3551740.248,-6103115.835,171017.225,-823.914,688.938,7433.885,0.314062,0.035612,0.260593,0.606933,-0.647812,0.460404,99.99,DRIFT,48
24.0,-3552596.347,-6102482.176,178452.756,-819.900,695.854,7433.758,0.308333,0.032813,0.251956,0.585957,-0.660375,0.469637,99.99,DRIFT,48
25.0,-3553452.446,-6101848.517,185888.288,-815.886,702.771,7433.632,0.302604,0.030015,0.243319,0.564857,-0.672335,0.478437,99.99,DRIFT,48
26.0,-3554308.546,-6101214.858,193323.819,-811.872,709.687,7433.505,0.296875,0.027216,0.234682,0.543684,-0.683689,0.486802,99.99,DRIFT,48
