step,iteration,ep,ep_len,reward,loss,pg_loss,vf_loss,entropy,kl,explained_var,clip_frac,lr,fps,n_dyn_imaged_ep,n_dyn_detected_ep,battery_end_pct
288,1,1,181,-3.018,,,,,,,,,1,0,0,83.0
576,2,3,1,-4.0,0.98101,-0.01774,0.71995,-0.4002,0.00627,0.0072,0.06398,0.00025,1,0,0,100.0
864,3,4,144,-3.0,0.09326,-0.01153,0.08145,-0.5118,0.006527,0.2722,0.08073,0.00025,1,0,0,100.0
1152,4,6,144,-3.0,0.08756,-0.01686,0.07602,-0.4491,0.01085,0.5136,0.09141,0.00025,1,0,0,100.0
1440,5,8,246,54.677,0.11149,-0.01325,0.10087,-0.5168,0.005424,0.0177,0.05304,0.00025,1,0,0,95.8
1728,6,9,144,-3.0,0.057,-0.01811,0.08087,-0.4688,0.008714,-0.0954,0.06345,0.00025,1,0,0,100.0
2016,7,11,185,50.9306,0.03453,-0.01526,0.04247,-0.3667,0.005386,0.2801,0.04549,0.00025,1,0,0,94.0
2304,8,12,252,50.8742,0.09619,-0.0202,0.07617,-0.3697,0.007164,0.1636,0.06241,0.00025,2,0,0,100.0
2592,9,14,144,-3.0,0.12634,-0.01731,0.09349,-0.5609,0.018437,0.0702,0.15043,0.00025,1,0,0,75.8
2880,10,16,153,2.7673,0.16003,-0.0116,0.09439,-0.3115,0.003834,0.0234,0.03516,0.00025,1,0,0,100.0
3168,11,17,194,55.7639,0.09926,-0.01301,0.06282,-0.1602,0.002964,-0.0629,0.03533,0.00025,1,0,0,100.0
3456,12,18,275,68.8473,0.22471,-0.01103,0.13467,-0.4411,0.004858,0.0058,0.04236,0.00025,0,0,0,100.0
3744,13,20,144,-3.0,0.03535,-0.00795,0.02651,-0.2518,0.004827,0.2511,0.04878,0.00025,1,0,0,100.0
4032,14,21,318,1.2606,0.04058,-0.01062,0.03065,-0.2211,0.005181,0.3682,0.02882,0.00025,1,0,0,100.0
4320,15,22,193,69.5012,0.08201,-0.01602,0.06274,-0.2671,0.004689,0.2264,0.06172,0.00025,1,0,0,78.0
4608,16,24,144,-3.0,0.22915,-0.01277,0.0906,-0.264,0.002524,0.1629,0.02266,0.00025,1,0,0,75.0
4896,17,26,1,-4.0,0.15849,-0.01477,0.08589,-0.3904,0.004673,0.0712,0.0375,0.00025,1,0,0,100.0
5184,18,27,198,56.742,0.14133,-0.0093,0.07988,-0.3996,0.004361,-0.281,0.02986,0.00025,1,0,0,75.4
