step,iteration,ep,ep_len,reward,loss,pg_loss,vf_loss,entropy,kl,explained_var,clip_frac,lr,fps,n_dyn_imaged_ep,n_dyn_detected_ep,battery_end_pct
288,1,0,0.0,0.0,,,,,,,,,4,0,1,
576,2,1,488,79.797,0.57771,-0.01543,0.31207,-0.3339,0.007593,-0.0893,0.17161,0.00025,4,50,51,98.9
864,3,1,488,79.797,0.83417,-0.02671,0.3821,-0.5332,0.008467,-0.0407,0.06988,0.00025,3,50,51,98.9
1152,4,2,383,56.4149,0.04072,-0.01978,0.05094,-0.3828,0.010844,-0.013,0.09575,0.00025,3,43,44,98.3
1440,5,3,425,55.3831,0.0463,-0.01683,0.05265,-0.3516,0.006038,0.025,0.07552,0.00025,3,43,44,99.7
1728,6,4,1,-4.0,0.0137,-0.00693,0.01535,-0.1934,0.011696,-0.2253,0.06085,0.00025,2,44,44,100.0
2016,7,4,1,-4.0,0.03805,-0.01162,0.02581,-0.241,0.003142,-0.0108,0.02187,0.00025,1,44,44,100.0
2304,8,5,369,53.5283,0.04768,-0.01619,0.05594,-0.3437,0.004677,0.0012,0.04644,0.00025,3,41,42,99.9
2592,9,6,1,-4.0,0.02238,-0.00823,0.02357,-0.1479,0.004222,-0.1563,0.02752,0.00025,3,43,46,99.3
2880,10,7,1,-4.0,0.04596,-0.00615,0.02528,-0.1163,0.001161,-0.008,0.01189,0.00025,2,43,44,100.0
3168,11,7,1,-4.0,0.0284,-0.00398,0.02031,-0.0813,0.001316,0.1542,0.00972,0.00025,2,43,44,100.0
3456,12,8,325,48.7103,0.10518,-0.01081,0.07021,-0.2214,0.002248,0.0242,0.01962,0.00025,3,35,35,98.6
3744,13,9,416,132.4098,0.08512,-0.011,0.05314,-0.1557,0.002615,-0.0223,0.02908,0.00025,3,69,69,100.0
4032,14,9,416,132.4098,0.09775,-0.01184,0.07769,-0.1948,0.002971,0.0503,0.02326,0.00025,2,69,69,100.0
4320,15,10,639,79.9005,0.10027,-0.01535,0.04988,-0.2232,0.003097,0.0497,0.02943,0.00025,3,61,62,100.0
