policy,seed,episode,reward,n_steps,n_imaged,n_dyn_det,n_dyn_ok,n_cf,dyn_suc,cf_rate,miss_rate
A1-PPO,42,0,89.59282765082112,424,70,51,50,66,0.9803921568627451,0.9428571428571428,0.0392156862745098
A1-PPO,42,1,72.80411376174709,424,56,36,36,53,1.0,0.9464285714285714,0.0
A1-PPO,42,2,52.36958505274789,383,48,44,44,47,1.0,0.9791666666666666,0.0
random,42,0,8.66154374835758,1790,13,31,6,12,0.1935483870967742,0.9230769230769231,0.967741935483871
random,42,1,18.582704652125482,1829,16,26,6,16,0.23076923076923078,1.0,0.8461538461538461
random,42,2,0.06890247325797905,1812,9,26,6,9,0.23076923076923078,1.0,0.9230769230769231
greedy_cloud,42,0,-11.416576887651795,1819,0,28,0,0,0.0,0.0,1.1785714285714286
greedy_cloud,42,1,-6.8146231055614415,1840,1,24,0,1,0.0,1.0,1.0833333333333333
greedy_cloud,42,2,-8.147519276630057,1952,1,26,0,1,0.0,1.0,1.1538461538461537
A1-PPO,123,0,-4.0,1,0,1,0,0,0.0,0.0,0.0
A1-PPO,123,1,62.13239702395663,450,59,59,59,57,1.0,0.9661016949152542,0.0
A1-PPO,123,2,31.75799635829219,380,38,39,38,33,0.9743589743589743,0.868421052631579,0.05128205128205128
random,123,0,-6.012436370556689,1786,6,27,4,6,0.14814814814814814,1.0,1.037037037037037
random,123,1,-2.93969114125758,1862,10,29,10,8,0.3448275862068966,0.8,0.7586206896551724
random,123,2,-1.0445258133127333,1514,9,28,9,9,0.32142857142857145,1.0,0.75
greedy_cloud,123,0,-4.0,1,0,1,0,0,0.0,0.0,0.0
greedy_cloud,123,1,-10.899774557894883,1971,0,25,0,0,0.0,0.0,1.08
greedy_cloud,123,2,-10.244342590823223,1571,0,26,0,0,0.0,0.0,1.1153846153846154
A1-PPO,456,0,-4.0,1,0,1,0,0,0.0,0.0,0.0
A1-PPO,456,1,50.52056154231874,377,49,47,46,47,0.9787234042553191,0.9591836734693877,0.0425531914893617
A1-PPO,456,2,-4.0,1,0,1,0,0,0.0,0.0,0.0
random,456,0,11.029736417141967,1843,15,25,6,15,0.24,1.0,0.84
random,456,1,-3.628556059526176,1796,8,29,4,8,0.13793103448275862,1.0,1.0344827586206897
random,456,2,-3.3645371092852487,1874,9,27,7,9,0.25925925925925924,1.0,0.7777777777777778
greedy_cloud,456,0,-4.0,1,0,1,0,0,0.0,0.0,0.0
greedy_cloud,456,1,-8.470943661667052,1979,2,26,0,2,0.0,1.0,1.1923076923076923
greedy_cloud,456,2,-4.0,1,0,1,0,0,0.0,0.0,0.0
